Generation,MutationID,X,Y,Frequency,AlleleCount,Chr_Tot
604.0,2578.0,7.0,7.0,0.0285714,2.0,70.0
604.0,2578.0,7.0,8.0,0.0588235,4.0,68.0
604.0,1280.0,7.0,8.0,0.0588235,4.0,68.0
604.0,3310.0,7.0,8.0,0.117647,8.0,68.0
604.0,2578.0,7.0,9.0,0.0921053,7.0,76.0
604.0,1280.0,7.0,9.0,0.0394737,3.0,76.0
604.0,2578.0,7.0,10.0,0.118421,9.0,76.0
604.0,1280.0,8.0,3.0,0.0645161,4.0,62.0
604.0,1280.0,8.0,4.0,0.293103,17.0,58.0
604.0,2578.0,8.0,5.0,0.0243902,2.0,82.0
604.0,1280.0,8.0,5.0,0.0609756,5.0,82.0
604.0,1280.0,8.0,6.0,0.109756,9.0,82.0
604.0,1280.0,8.0,7.0,0.256757,19.0,74.0
604.0,3310.0,8.0,7.0,0.0135135,1.0,74.0
604.0,1280.0,8.0,8.0,0.153846,12.0,78.0
604.0,3310.0,8.0,8.0,0.0128205,1.0,78.0
604.0,2578.0,8.0,8.0,0.0384615,3.0,78.0
604.0,2578.0,9.0,1.0,0.0178571,1.0,56.0
604.0,2578.0,9.0,2.0,0.135135,10.0,74.0
604.0,1280.0,9.0,4.0,0.155172,9.0,58.0
604.0,1280.0,9.0,5.0,0.0757576,5.0,66.0
604.0,1280.0,9.0,6.0,0.155172,9.0,58.0
604.0,1280.0,9.0,7.0,0.390244,32.0,82.0
604.0,2578.0,9.0,7.0,0.0609756,5.0,82.0
604.0,1280.0,9.0,8.0,0.0833333,6.0,72.0
604.0,2578.0,9.0,8.0,0.0555556,4.0,72.0
604.0,1280.0,9.0,9.0,0.161765,11.0,68.0
604.0,1280.0,9.0,10.0,0.0357143,3.0,84.0
604.0,2578.0,10.0,1.0,0.0285714,2.0,70.0
604.0,2578.0,10.0,2.0,0.0416667,3.0,72.0
604.0,2578.0,10.0,3.0,0.0319149,3.0,94.0
604.0,1280.0,10.0,4.0,0.0535714,3.0,56.0
604.0,2578.0,10.0,4.0,0.196429,11.0,56.0
604.0,1280.0,10.0,5.0,0.0166667,1.0,60.0
604.0,2578.0,10.0,5.0,0.0333333,2.0,60.0
604.0,1280.0,10.0,6.0,0.0980392,10.0,102.0
604.0,2578.0,10.0,7.0,0.175676,13.0,74.0
604.0,1280.0,10.0,7.0,0.351351,26.0,74.0
604.0,1280.0,10.0,8.0,0.428571,30.0,70.0
604.0,2578.0,10.0,8.0,0.0285714,2.0,70.0
604.0,1280.0,10.0,9.0,0.271429,19.0,70.0
604.0,1280.0,10.0,10.0,0.0128205,1.0,78.0

605.0,2635.0,1.0,5.0,0.242857,17.0,70.0
605.0,2635.0,1.0,6.0,0.046875,3.0,64.0
605.0,2635.0,2.0,2.0,0.03125,2.0,64.0
605.0,2635.0,2.0,3.0,0.0465116,4.0,86.0
605.0,2635.0,2.0,4.0,0.0128205,1.0,78.0
605.0,2635.0,2.0,5.0,0.0128205,1.0,78.0
605.0,2635.0,3.0,2.0,0.0689655,4.0,58.0
605.0,2635.0,3.0,3.0,0.204545,18.0,88.0
605.0,2635.0,3.0,4.0,0.0178571,1.0,56.0
605.0,2635.0,4.0,2.0,0.25,20.0,80.0
605.0,2635.0,4.0,3.0,0.0555556,4.0,72.0
605.0,2635.0,5.0,2.0,0.0441176,3.0,68.0
605.0,2635.0,5.0,3.0,0.0208333,2.0,96.0
